https://engineering.universe.com,https://engineering.universe.com,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://tech.instacart.com/,https://tech.instacart.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://engineering.upgrad.com,https://engineering.upgrad.com,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://liveramp.com/engineering/,https://liveramp.com/engineering/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://engineering.instagram.com/,https://engineering.instagram.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://code.hootsuite.com/,http://code.hootsuite.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.simple.com/engineering,https://www.simple.com/engineering,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: TimeoutError('The read operation timed out') | reason: 
https://developer.atlassian.com/blog/,https://developer.atlassian.com/blog/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.docker.com/,https://blog.docker.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
http://blog.8thcolor.com/,http://blog.8thcolor.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://medium.com/bbc-design-engineering/,https://medium.com/bbc-design-engineering/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://engineering.skybettingandgaming.com/,http://engineering.skybettingandgaming.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://piotrpasich.com/,http://piotrpasich.com/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: TimeoutError('timed out') | reason: 
https://liveoverflow.com/blog/index.html,https://liveoverflow.com/blog/index.html,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: TimeoutError('The read operation timed out') | reason: 
https://blogs.msdn.microsoft.com/oldnewthing/,https://blogs.msdn.microsoft.com/oldnewthing/,https://github.com/kilimchoi/engineering-blogs#readme,Software Engineering Blogs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
